experiment_id,competition,commit,data_hash,fold_scheme,fold_seed,feature_set,model,params,cv_metric,cv_mean,cv_std,cv_worst,holdout_score,public_score,private_score,assistance_level,runtime_minutes,compute,cost_usd,artifact_path,notes
s6e8-public-stack15,playground-series-s6e8,3184a22,,StratifiedKFold-5,42,15-public-OOF-plus-poly,XGBoost-meta,lr=0.01;n_estimators=20000;max_depth=8,roc_auc,0.96944,,,,0.97057,,public-artifacts-assisted,,Kaggle-GPU,0,competitions/smartphone-addiction/results/submission_stack15.csv,Rank 277/1724 on 2026-08-13 snapshot; not autonomous
s6e8-own-stack8,playground-series-s6e8,3184a22,,StratifiedKFold-5,42,raw-own-models-plus-poly,8-own-GBDT-plus-XGBoost-meta,3-XGB;3-LGB;2-CatBoost,roc_auc,0.96487,,,0.96473,0.96630,,from-scratch,,Kaggle-GPU,0,competitions/smartphone-addiction/results/submission_from_scratch.csv,Submission 55490472; estimated rank band 635-638 on snapshot
s6e8-prospective-xgb-exact-te,playground-series-s6e8,,f4669147311c76eb03496061a852af283efcf0f12cf5c19274e775def81edd9c,80pct-dev-SKF5-plus-20pct-holdout,20260813,raw-plus-frequency-missing-plus-exact-value-TE,XGBoost,lr=0.07;max_depth=6;smoothing=20;inner_folds=5,roc_auc,0.9668255,0.0002585,0.9666191,0.9671433,,,from-scratch-code-assisted,88.7,local-CPU,0,competitions/smartphone-addiction/code/prospective_sprint1/,Exact-value TE inner-cross-fitted; no public predictions
s6e8-prospective-realmlp,playground-series-s6e8,,f4669147311c76eb03496061a852af283efcf0f12cf5c19274e775def81edd9c,80pct-dev-SKF5-plus-20pct-holdout,20260813,fold-local-imputation-categories-bins-TE,compact-PyTorch-RealMLP,8-ensemble;3x512;8epochs;best-epoch=4,roc_auc,0.9679047,0.0001848,0.9676801,0.9678688,,,from-scratch-code-assisted,34.5,Kaggle-P100-GPU,0,competitions/smartphone-addiction/code/prospective_sprint1/s6e8_prospective_realmlp.ipynb,Public architecture code attributed; own training and predictions; no public prediction artifacts
s6e8-prospective-blend,playground-series-s6e8,,f4669147311c76eb03496061a852af283efcf0f12cf5c19274e775def81edd9c,80pct-dev-SKF5-plus-20pct-holdout,20260813,rank-predictions-own-XGB-plus-own-RealMLP,rank-blend,xgb=0.30;realmlp=0.70;weights-frozen-before-holdout,roc_auc,0.9681391,0.0001917,0.9679320,0.9680330,0.96907,,from-scratch-code-assisted,,local-plus-Kaggle-GPU,0,competitions/smartphone-addiction/results/submission_prospective_rank_blend.csv,Submission 55492274; estimated rank band 434-435/1728; holdout opened once after freezing weights
s6e8-sprint2-tabm-te,playground-series-s6e8,,f4669147311c76eb03496061a852af283efcf0f12cf5c19274e775def81edd9c,80pct-dev-SKF5-plus-20pct-holdout,20260813,fold-local-exact-value-TE-frequency-quantile,official-TabM,k=32;n_bins=48;d_embedding=16;lr=0.002;batch=256;inner_folds=5,roc_auc,0.9673381,0.0001783,0.9670861,,,,from-scratch-code-assisted,37.9,Kaggle-GPU,0,competitions/smartphone-addiction/code/prospective_sprint2_3/,Official TabM package; own weights/preds; single model below RealMLP but added for rank diversity
s6e8-sprint2-blend,playground-series-s6e8,,f4669147311c76eb03496061a852af283efcf0f12cf5c19274e775def81edd9c,80pct-dev-SKF5-plus-20pct-holdout,20260813,rank-avg-own-XGB-RealMLP-TabM,rank-blend,xgb=0.2175;realmlp=0.5075;tabm_te=0.275;weights-frozen-on-dev-oof,roc_auc,0.9683121,0.0001870,0.9681024,,0.96923,,from-scratch-code-assisted,,local-plus-Kaggle-GPU,0,competitions/smartphone-addiction/results/prospective_sprint2_3/frozen_tabm_te_blend_spec.json,Gain OOF +0.0001566 vs S1; fixed-positive 5/5 and LOO 5/5
s6e8-sprint3-catboost,playground-series-s6e8,,f4669147311c76eb03496061a852af283efcf0f12cf5c19274e775def81edd9c,80pct-dev-SKF5-plus-20pct-holdout,20260813,exact-category-plus-12-fit-compositions,CatBoost,iterations=6000;lr=0.03;depth=6;es=100;seed=20260813,roc_auc,0.9678347,0.0002625,0.9675877,,,,from-scratch-code-assisted,30.6,Kaggle-GPU,0,competitions/smartphone-addiction/code/prospective_sprint2_3/,Exact-category+fit-only compositions; rep gain fold0 +0.001666 vs raw; no public artifacts
s6e8-sprint3-blend,playground-series-s6e8,,f4669147311c76eb03496061a852af283efcf0f12cf5c19274e775def81edd9c,80pct-dev-SKF5-plus-20pct-holdout,20260813,rank-avg-own-XGB-RealMLP-TabM-CatBoost,rank-blend,xgb=0.1359375;realmlp=0.3171875;tabm_te=0.171875;catboost=0.375;weights-frozen-on-dev-oof,roc_auc,0.9685616,0.0002132,0.9683470,,0.96952,,from-scratch-code-assisted,,local-plus-Kaggle-GPU,0,competitions/smartphone-addiction/results/prospective_sprint2_3/frozen_catboost_blend_spec.json,Submission 55504165; gain OOF +0.0002594 and public +0.00029 vs S2; fixed-positive 5/5 and LOO 5/5
s6e8-sprint4-augmented-imputation,playground-series-s6e8,,f4669147311c76eb03496061a852af283efcf0f12cf5c19274e775def81edd9c,80pct-dev-SKF5-plus-20pct-holdout,20260813,model-imputed-63-features-vs-42-baseline,CatBoost-plus-LGBMRegressor-imputers,iterations=6000;lr=0.03;depth=6;es=100;seed=20260813;9-LGBMRegressor-imputers-per-fold,roc_auc,0.9681634,0.0002574,0.9678501,,,from-scratch-code-assisted,62.1,Kaggle-GPU,0,competitions/smartphone-addiction/results/augmented_imputation_5fold/,45-LGBMRegressor-plus-10-CatBoost;no-fallback;gain-vs-baseline-+0.000332-5of5-folds;no-public-artifacts
s6e8-sprint4-blend,playground-series-s6e8,,f4669147311c76eb03496061a852af283efcf0f12cf5c19274e775def81edd9c,80pct-dev-SKF5-plus-20pct-holdout,20260813,rank-avg-own-XGB-RealMLP-TabM-candidate-imputed,rank-blend-replacement,xgb=0.1359375;realmlp=0.3171875;tabm_te=0.171875;candidate=0.375;frozen-on-dev-oof,roc_auc,0.9687472,0.0001994,0.9685479,,0.96970,,from-scratch-code-assisted,,local-plus-Kaggle-GPU,0,competitions/smartphone-addiction/results/frozen_augmented_imputation_replacement_spec.json,Submission 55509925; gain OOF +0.000185 and public +0.00018 vs S3; fixed-positive 5/5
